Time (h),Temperature (degC)
0,7.999996056943332
1,8.009027984183898
2,8.020794303551178
3,8.034157396439085
4,8.049340015716982
5,8.066067212396852
6,8.082794409076628
7,8.099521605756461
8,8.118065915796624
9,8.136666144771942
10,8.15526637374711
11,8.173866602722377
12,8.192466831697711
13,8.211067060673
14,8.22966728964822
15,8.249285419310066
16,8.269113950394743
17,8.288942481479669
18,8.30877101256434
19,8.328599543649036
20,8.34842807473383
21,8.368256605818658
22,8.388085136903333
23,8.407913667988055
24,8.427742199072782
25,8.447570730157594
26,8.467399261242239
27,8.48722779232703
28,8.507056323411927
29,8.526450343146658
30,8.54548281214906
31,8.564515281151545
32,8.583547750153958
33,8.60258021915646
34,8.621612688158855
35,8.640645157161375
36,8.659677626163743
37,8.678710095166348
38,8.697742564168923
39,8.716775033171187
40,8.735807502173635
41,8.754839971176185
42,8.773872440178717
43,8.792678510606104
44,8.810849973185034
45,8.829021435763726
46,8.847192898342893
47,8.865364360921722
48,8.88353582350077
49,8.901707286079663
50,8.919878748658585
51,8.938050211237623
52,8.956221673816612
53,8.974393136395415
54,8.992564598974338
55,9.010736061553342
56,9.028907524132341
57,9.047078986711282
58,9.065250449290216
59,9.083421911869046
60,9.101593374448074
61,9.119764837027127
62,9.137936299605874
63,9.156107762184975
64,9.174279224763874
65,9.19245068734282
66,9.210622149921685
67,9.228793612500668
68,9.246965075079743
69,9.26513653765849
70,9.283308000237417
71,9.3014794628164
72,9.318873211130509
73,9.335929171249804
74,9.352985131369014
75,9.370041091488174
76,9.38709705160732
77,9.404153011726605
78,9.421208971845797
79,9.438264931965035
80,9.455320892084261
81,9.472376852203553
82,9.489432812322846
83,9.506488772441973
84,9.52354473256121
85,9.540600692680448
86,9.557656652799707
87,9.574712612918855
88,9.59176857303802
89,9.608824533157325
90,9.625880493276412
91,9.642936453395736
92,9.659992413514914
93,9.677048373634232
94,9.694104333753126
95,9.711160293872679
96,9.728216253991892
97,9.74527221411104
98,9.762328174230266
99,9.779384134349359
100,9.796440094468545
101,9.813496054587926
102,9.830552014707045
103,9.84760797482627
104,9.864663934945543
105,9.881719895064926
106,9.898775855184013
107,9.915831815303346
108,9.932887775422351
109,9.949943735541611
110,9.966999695660807
111,9.984055655780011
112,10.001111615899347
113,10.018167576018596
114,10.035223536137755
115,10.052279496257004
116,10.069335456376216
117,10.08639141649526
118,10.103447376614701
119,10.1205033367338
120,10.137559296853096
121,10.154615256972312
122,10.171671217091404
123,10.188727177210644
124,10.205783137329826
125,10.22283909744926
126,10.239895057568335
127,10.256951017687586
128,10.274006977806838
129,10.290169329582216
130,10.305645553459804
131,10.321121777337105
132,10.336598001214824
133,10.352074225092212
134,10.367550448969794
135,10.383026672847294
136,10.398502896724892
137,10.413979120602365
138,10.429455344479821
139,10.444931568357475
140,10.460407792234975
141,10.475884016112678
142,10.491360239989941
143,10.506836463867637
144,10.522312687745115
145,10.537788911622593
146,10.553265135500036
147,10.568741359377588
148,10.584217583255311
149,10.599693807132782
150,10.615170031010276
151,10.630646254887697
152,10.646122478765308
153,10.66159870264284
154,10.677074926520339
155,10.692551150397957
156,10.708027374275426
157,10.72350359815293
158,10.738979822030592
159,10.754456045908032
160,10.769932269785626
161,10.785408493663189
162,10.800884717540578
163,10.816360941418084
164,10.83183716529564
165,10.847313389173106
166,10.86278961305062
167,10.878265836928348
168,10.893742060805687
169,10.909218284683453
170,10.924694508560899
171,10.940170732438329
172,10.955646956315809
173,10.971123180193443
174,10.986599404070995
175,11.002075627948392
176,11.017551851826074
177,11.033028075703534
178,11.048504299581097
179,11.063980523458683
180,11.079456747336176
181,11.09493297121357
182,11.110409195091226
183,11.125885418968652
184,11.141361642846244
185,11.156837866723697
186,11.172314090601114
187,11.18779031447882
188,11.203266538356264
189,11.218742762233747
190,11.234218986111244
191,11.249695209988928
192,11.265171433866337
193,11.28064765774388
194,11.296123881621622
195,11.311600105499041
196,11.327076329376627
197,11.342552553254121
198,11.358028777131624
199,11.373505001009166
200,11.388981224886653
201,11.404457448764228
202,11.41993367264144
203,11.435409896519264
204,11.450886120396735
205,11.466362344274417
206,11.481838568151842
207,11.497314792029462
208,11.512791015906872
209,11.528267239784476
210,11.543743463661839
211,11.559219687539477
212,11.57469591141708
213,11.590172135294441
214,11.605648359171976
215,11.621124583049733
216,11.636600806927245
217,11.652077030804646
218,11.667553254682158
219,11.683029478559858
220,11.698505702437158
221,11.71398192631472
222,11.72945815019247
223,11.744934374069958
224,11.760410597947404
225,11.775886821824779
226,11.7913630457025
227,11.806839269580008
228,11.822315493457644
229,11.83779171733488
230,11.853267941212478
231,11.868744165090053
232,11.884220388967602
233,11.89969661284515
234,11.915172836722638
235,11.930649060600116
236,11.94612528447755
237,11.96160150835534
238,11.977077732232852
239,11.992553956110422
240,12.008030179987722
241,12.023506403865346
242,12.038982627742959
243,12.054193202124276
244,12.068791632325631
245,12.083390062527297
246,12.097988492728938
247,12.112586922930246
248,12.127185353131908
249,12.141783783333247
250,12.156382213534819
251,12.170980643736307
252,12.185579073937765
253,12.200177504139367
254,12.2147759343408
255,12.229374364542275
256,12.24397279474391
257,12.25857122494533
258,12.27316965514672
259,12.28776808534832
260,12.302366515550128
261,12.316964945751401
262,12.331563375953037
263,12.346161806154464
264,12.360760236355848
265,12.375358666557293
266,12.389957096758799
267,12.40455552696035
268,12.419153957161873
269,12.433752387363363
270,12.448350817564975
271,12.462949247766545
272,12.47754767796779
273,12.492146108169589
274,12.506744538371008
275,12.52134296857227
276,12.53594139877411
277,12.550539828975305
278,12.565138259176905
279,12.579736689378548
280,12.59433511957986
281,12.608933549781558
282,12.623531979982916
283,12.638130410184498
284,12.652728840385889
285,12.667327270587583
286,12.681925700789021
287,12.696524130990383
288,12.711122561191944
289,12.725720991393676
290,12.740319421595004
291,12.754917851796495
292,12.769516281998008
293,12.784114712199639
294,12.798713142401137
295,12.813311572602563
296,12.827910002804058
297,12.842508433005564
298,12.857106863206916
299,12.87170529340868
300,12.88630372361014
301,12.900902153811407
302,12.915500584013047
303,12.930099014214477
304,12.944697444416176
305,12.95929587461756
306,12.973894304819089
307,12.988492735020614
308,13.003091165222113
309,13.017689595423553
310,13.03228802562499
311,13.046886455826566
312,13.061484886028225
313,13.076083316229525
314,13.0906817464311
315,13.10528017663282
316,13.119878606834213
317,13.134477037035804
318,13.149075467237147
319,13.163673897438727
320,13.178272327640165
321,13.192870757841716
322,13.207469188043252
323,13.222067618244829
324,13.236666048446448
325,13.251264478647649
326,13.265862908849114
327,13.280461339050733
328,13.29505976925219
329,13.309658199453617
330,13.32425662965533
331,13.338855059857044
332,13.353453490058264
333,13.368051920259802
334,13.382650350461414
335,13.397248780662812
336,13.41184721086421
337,13.426445641065676
338,13.441044071267296
339,13.455642501468896
340,13.470240931670299
341,13.48483936187185
342,13.49943779207337
343,13.514036222274745
344,13.528634652476283
345,13.543233082677766
346,13.557831512879384
347,13.57242994308087
348,13.587028373282354
349,13.601626803483832
350,13.61622523368529
351,13.630823663886899
352,13.645422094088484
353,13.660020524290003
354,13.674618954491269
355,13.689217384692773
356,13.703815814894252
357,13.718349249004772
358,13.731306241024395
359,13.744263233044089
360,13.757220225064
361,13.770177217083798
362,13.783134209103645
363,13.79609120112334
364,13.809048193143063
365,13.822005185162917
366,13.834962177182776
367,13.84791916920267
368,13.860876161222238
369,13.873833153242165
370,13.886790145261967
371,13.899747137281702
372,13.912704129301458
373,13.925661121321333
374,13.938618113341164
375,13.951575105360897
376,13.96453209738098
377,13.97748908940058
378,13.990446081420338
379,14.00340307344009
380,14.016360065460127
381,14.0293170574798
382,14.042274049499602
383,14.055231041519226
384,14.068188033538886
385,14.08114502555909
386,14.09410201757879
387,14.107059009598519
388,14.120016001618312
389,14.132972993638049
390,14.145929985657956
391,14.158886977677776
392,14.17184396969744
393,14.184800961717272
394,14.197757953737156
395,14.210714945757138
396,14.22367193777701
397,14.236628929796565
398,14.249585921816266
399,14.262542913836134
400,14.275499905856108
401,14.288456897875756
402,14.301413889895622
403,14.314370881915277
404,14.327327873935225
405,14.340284865954956
406,14.353241857974675
407,14.3661988499947
408,14.379155842014324
409,14.392112834034071
410,14.405069826053733
411,14.41802681807389
412,14.430983810093661
413,14.443940802113392
414,14.456897794133205
415,14.469854786152922
416,14.482811778172717
